Datetime,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2022-10-03 11:30:00-04:00,1909697.9027229354,-1091656.2285695223,-1559561.8860917226,-209648.63893075843,-248.43089076254384,-31.09729261053991,-17.01494096882416,-0.1363745330003951
2022-10-03 12:30:00-04:00,2595045.529592507,-2626452.900678882,-1293324.5823830029,-465973.6714387454,182.5635949255454,-32.36744997569569,-17.012971870729725,-0.365045865222926
2022-10-03 13:30:00-04:00,1577959.6754097024,-1341337.3338492594,-578399.2920242014,-144652.28610058554,-453.06492138692386,-29.912195006108615,-17.272664474233846,-1.632386483411604
2022-10-03 14:30:00-04:00,5831064.879632214,-3241915.0995143675,-678318.3446626582,46746.365276881246,-1344.9351530914462,-31.08594985482302,-14.770477706743055,-0.09392818490271086
2022-10-03 15:30:00-04:00,2933562.0154526555,-1796572.6986926282,692452.5634017867,1236492.6131481756,-3566.9025379701206,-34.22700803610843,-17.70536222766257,0.8825189275075794
2022-10-04 09:30:00-04:00,17757285.859866064,-1064732.2990747322,3174261.206979512,1057781.4521976393,-5519.939576267725,-18.93851316027642,-6.610925229041429,-6.083491917524356
2022-10-04 10:30:00-04:00,6741330.188291648,-393787.98368401825,-233505.90969019817,433865.3316786502,-2376.7285434428413,-20.67614545311802,-12.700293984359908,-7.895940927225594
2022-10-04 11:30:00-04:00,846044.7194360462,-152952.62970066446,-197222.3894447496,-428164.60953066294,136.97573074712201,-22.635864417687362,-15.257490960570028,-8.193247236598031
2022-10-04 12:30:00-04:00,-667673.2484734679,-120616.33127074337,-385865.6335234299,-122504.93695305183,-253.7985590135123,-24.053333946732028,-16.567761047730283,-8.295697469288132
2022-10-04 13:30:00-04:00,-1563817.5390733401,-243314.43641106406,-528541.110275705,251835.08282387388,-867.2761481771752,-25.15417710266709,-18.81569405677901,-8.826058574453434
2022-10-04 14:30:00-04:00,759241.6793062893,-324056.3728148471,-454964.5514651448,-44401.87258773872,-587.7310711187118,-24.137355917028508,-16.042085234550775,-7.901354151089139
